country/territory,date,sexual violence,rate
Latvia*,2004,648,27.94031982
Latvia*,2005,721,31.27266292
Latvia*,2006,328,14.30390566
Latvia*,2007,460,20.16046856
Latvia*,2008,416,18.31632469
Latvia*,2009,315,13.92954744
Latvia*,2010,231,10.25727556
Latvia*,2011,NA,NA
Liechtenstein,2003,17,NA
Liechtenstein,2004,7,NA
Liechtenstein,2005,18,NA
Liechtenstein,2006,12,NA
Liechtenstein,2007,18,NA
Liechtenstein,2008,11,NA
Liechtenstein,2009,3,NA
Liechtenstein,2010,6,NA
Liechtenstein,2011,5,NA
Lithuania,2003,415,12.03886086
Lithuania,2004,444,12.93683677
Lithuania,2005,558,16.33609974
Lithuania,2006,521,15.33302236
Lithuania,2007,385,11.39375853
Lithuania,2008,368,10.95303618
Lithuania,2009,362,10.83476475
Lithuania,2010,514,15.46510708
Lithuania,2011,529,15.99404501
Luxembourg,2003,NA,NA
Luxembourg,2004,NA,NA
Luxembourg,2005,NA,NA
Luxembourg,2006,205,44.03053356
Luxembourg,2007,592,124.4445192
Luxembourg,2008,353,72.51721
Luxembourg,2009,304,61.08870522
Luxembourg,2010,260,51.23677697
Luxembourg,2011,284,55.0450536
Maldives,2003,NA,NA
Maldives,2004,NA,NA
Maldives,2005,NA,NA
Maldives,2006,NA,NA
Maldives,2007,342,112.6708594
Maldives,2008,465,151.1546263
Maldives,2009,NA,NA
Maldives,2010,NA,NA
Maldives,2011,NA,NA
Malta*,2003,NA,NA
Malta*,2004,NA,NA
Malta*,2005,NA,NA
Malta*,2006,NA,NA
Malta*,2007,70,16.96525516
Malta*,2008,80,19.32619231
Malta*,2009,82,19.74856702
Malta*,2010,91,21.84795265
Malta*,2011,69,16.51290519
Mauritius,2003,298,24.15705654
Mauritius,2004,297,23.84260987
Mauritius,2005,314,24.98523961
Mauritius,2006,420,33.157441
Mauritius,2007,384,30.10230079
Mauritius,2008,413,32.16889214
Mauritius,2009,442,34.22088264
Mauritius,2010,432,33.25194816
Mauritius,2011,466,35.66527603
Mexico,2003,NA,NA
Mexico,2004,28815,27.39694326
Mexico,2005,28622,26.87921689
Mexico,2006,30906,28.66038463
Mexico,2007,33102,30.30742701
Mexico,2008,32862,29.70518324
Mexico,2009,33815,30.18297165
Mexico,2010,34113,30.07589807
Mexico,2011,34027,29.64196329
Mongolia,2003,NA,NA
Mongolia,2004,NA,NA
Mongolia,2005,338,13.26874829
Mongolia,2006,323,12.49930828
Mongolia,2007,366,13.94546561
Mongolia,2008,373,13.98326657
Mongolia,2009,347,12.79659426
Mongolia,2010,362,13.13497346
Mongolia,2011,388,13.8565787
Montenegro,2003,32,5.099601594
Montenegro,2004,42,6.699504875
Montenegro,2005,35,5.584461794
Montenegro,2006,43,6.857244918
Montenegro,2007,30,4.77735914
Montenegro,2008,35,5.562751814
Montenegro,2009,42,6.662066668
Montenegro,2010,36,5.700802863
Montenegro,2011,42,6.642826301
Morocco,2003,827,2.777934907
Morocco,2004,594,1.974592775
Morocco,2005,929,3.056677882
Morocco,2006,2243,7.305692995
Morocco,2007,2531,8.161567697
Morocco,2008,2559,8.170119055
Morocco,2009,3252,10.27990812
Morocco,2010,NA,NA
Morocco,2011,NA,NA
Mozambique,2003,NA,NA
Mozambique,2004,834,4.11927382
Mozambique,2005,789,3.798745817
Mozambique,2006,639,3.001274908
Mozambique,2007,629,2.883822836
Mozambique,2008,640,2.865727245
Mozambique,2009,613,2.68170322
Mozambique,2010,NA,NA
Mozambique,2011,NA,NA
Netherlands,2003,NA,NA
Netherlands,2004,NA,NA
Netherlands,2005,12700,77.88803466
Netherlands,2006,9355,57.11944938
Netherlands,2007,8495,51.66180425
Netherlands,2008,7670,46.47565757
Netherlands,2009,7455,45.02010596
Netherlands,2010,7020,42.25609505
Netherlands,2011,6650,39.90459861
New Zealand,2003,NA,NA
New Zealand,2004,NA,NA
New Zealand,2005,2465,59.62579192
New Zealand,2006,2823,67.45676065
New Zealand,2007,2788,65.87184147
New Zealand,2008,2732,63.86446894
New Zealand,2009,2826,65.37689572
New Zealand,2010,2913,66.68748409
New Zealand,2011,3347,75.8181714
Nicaragua,2003,NA,NA
Nicaragua,2004,NA,NA
Nicaragua,2005,NA,NA
Nicaragua,2006,NA,NA
Nicaragua,2007,NA,NA
Nicaragua,2008,NA,NA
Nicaragua,2009,NA,NA
Nicaragua,2010,3626,62.64509137
Nicaragua,2011,NA,NA
Norway,2003,1996,43.78479641
Norway,2004,1952,42.55462012
Norway,2005,1960,42.39397936
Norway,2006,2176,46.60724528
Norway,2007,2235,47.33147876
Norway,2008,2296,48.04393593
Norway,2009,2410,49.85517176
Norway,2010,2448,50.13197529
Norway,2011,2661,54.03212444
Oman,2003,NA,NA
Oman,2004,NA,NA
Oman,2005,NA,NA
Oman,2006,NA,NA
Oman,2007,132,5.1538603
Oman,2008,183,6.939801582
Oman,2009,NA,NA
Oman,2010,NA,NA
Oman,2011,NA,NA
Panama*,2003,NA,NA
Panama*,2004,NA,NA
Panama*,2005,783,24.17919657
Panama*,2006,817,24.79828251
Panama*,2007,877,26.17384627
Panama*,2008,732,21.48841314
Panama*,2009,830,23.97526677
Panama*,2010,1008,28.66225738
Panama*,2011,2063,57.76793977
Paraguay,2003,NA,NA
Paraguay,2004,NA,NA
Paraguay,2005,NA,NA
Paraguay,2006,2555,42.52240581
Paraguay,2007,2612,42.68465567
Paraguay,2008,2752,44.17163892
Paraguay,2009,3114,49.10206607
Paraguay,2010,3395,52.59857081
Paraguay,2011,3528,53.71261013
Philippines,2003,NA,NA
Philippines,2004,NA,NA
Philippines,2005,NA,NA
Philippines,2006,1311,1.504885281
Philippines,2007,1410,1.590477332
Philippines,2008,1506,1.670120411
Philippines,2009,1601,1.745851748
Philippines,2010,2176,2.333241884
Philippines,2011,1744,1.838653321
Poland,2003,NA,NA
Poland,2004,NA,NA
Poland,2005,NA,NA
Poland,2006,NA,NA
Poland,2007,3709,9.712027009
Poland,2008,3294,8.618871162
Poland,2009,3187,8.332194313
Poland,2010,3099,8.096317704
Poland,2011,3030,7.911444254
Portugal,2003,1966,18.78498058
Portugal,2004,1701,16.19035826
Portugal,2005,1619,15.35519487
Portugal,2006,1729,16.3458166
Portugal,2007,1810,17.06253636
Portugal,2008,2251,21.16673368
Portugal,2009,2556,23.98384187
Portugal,2010,2206,20.66399814
Portugal,2011,2182,20.41224312
Republic of Korea,2003,NA,NA
Republic of Korea,2004,NA,NA
Republic of Korea,2005,NA,NA
Republic of Korea,2006,13652,28.88228213
Republic of Korea,2007,13435,28.28459162
Republic of Korea,2008,15021,31.46816822
Republic of Korea,2009,15688,32.70791674
Republic of Korea,2010,18220,37.8137085
Republic of Korea,2011,19491,40.2778654
Republic of Moldova,2003,NA,NA
Republic of Moldova,2004,471,12.30437738
Republic of Moldova,2005,393,10.4330485
Republic of Moldova,2006,389,10.47117318
Republic of Moldova,2007,423,11.52105111
Republic of Moldova,2008,474,13.03967831
Republic of Moldova,2009,402,11.15782409
Republic of Moldova,2010,557,15.58964254
Republic of Moldova,2011,461,13.00473022
Romania,2003,NA,NA
Romania,2004,NA,NA
Romania,2005,NA,NA
Romania,2006,NA,NA
Romania,2007,1565,7.230345311
Romania,2008,1566,7.253511237
Romania,2009,NA,NA
Romania,2010,NA,NA
Romania,2011,NA,NA
Russian Federation,2003,14299,9.869515262
Russian Federation,2004,16381,11.35149511
Russian Federation,2005,18491,12.85497352
Russian Federation,2006,20914,14.57319448
Russian Federation,2007,20182,14.08427773
Russian Federation,2008,18852,13.16819767
Russian Federation,2009,17903,12.51397293
Russian Federation,2010,15770,11.03119931
Russian Federation,2011,16647,11.65466119
Saint Kitts and Nevis,2003,NA,NA
Saint Kitts and Nevis,2004,NA,NA
Saint Kitts and Nevis,2005,NA,NA
Saint Kitts and Nevis,2006,NA,NA
Saint Kitts and Nevis,2007,NA,NA
Saint Kitts and Nevis,2008,NA,NA
Saint Kitts and Nevis,2009,56,NA
Saint Kitts and Nevis,2010,62,NA
Saint Kitts and Nevis,2011,NA,NA
Saint Vincent and the Grenadines,2003,NA,NA
Saint Vincent and the Grenadines,2004,193,177.7720465
Saint Vincent and the Grenadines,2005,114,104.8227668
Saint Vincent and the Grenadines,2006,152,139.5545273
Saint Vincent and the Grenadines,2007,145,132.9543371
Saint Vincent and the Grenadines,2008,169,154.7930902
Saint Vincent and the Grenadines,2009,204,186.6952201
Saint Vincent and the Grenadines,2010,168,153.6590051
Saint Vincent and the Grenadines,2011,426,389.5213277
Sao Tome and Principe,2003,NA,NA
Sao Tome and Principe,2004,NA,NA
Sao Tome and Principe,2005,NA,NA
Sao Tome and Principe,2006,0,0
Sao Tome and Principe,2007,0,0
Sao Tome and Principe,2008,0,0
Sao Tome and Principe,2009,0,0
Sao Tome and Principe,2010,0,0
Sao Tome and Principe,2011,0,0
Serbia,2003,NA,NA
Serbia,2004,NA,NA
Serbia,2005,532,5.39764403
Serbia,2006,457,4.646272749
Serbia,2007,419,4.261163995
Serbia,2008,436,4.430281994
Serbia,2009,455,4.618614132
Serbia,2010,493,5.001916556
Serbia,2011,379,3.846165946
Sierra Leone,2003,NA,NA
Sierra Leone,2004,NA,NA
Sierra Leone,2005,NA,NA
Sierra Leone,2006,NA,NA
Sierra Leone,2007,695,12.68644279
Sierra Leone,2008,623,11.10095652
Sierra Leone,2009,NA,NA
Sierra Leone,2010,NA,NA
Sierra Leone,2011,NA,NA
Singapore,2003,NA,NA
Singapore,2004,NA,NA
Singapore,2005,NA,NA
Singapore,2006,1398,31.70100375
Singapore,2007,1468,32.01818842
Singapore,2008,1403,29.39933985
Singapore,2009,1475,29.82421909
Singapore,2010,1579,31.0434573
Singapore,2011,1546,29.79992224
Slovakia,2003,NA,NA
Slovakia,2004,NA,NA
Slovakia,2005,NA,NA
Slovakia,2006,283,5.219358768
Slovakia,2007,293,5.394980716
Slovakia,2008,252,4.631242805
Slovakia,2009,230,4.218660124
Slovakia,2010,193,3.533427229
Slovakia,2011,234,4.276705007
Slovenia,2003,145,7.270262221
Slovenia,2004,369,18.46884746
Slovenia,2005,311,15.53381377
Slovenia,2006,286,14.25081332
Slovenia,2007,363,18.03865639
Slovenia,2008,276,13.67574221
Slovenia,2009,345,17.04511769
Slovenia,2010,375,18.47581885
Slovenia,2011,312,15.33160492
Solomon Islands,2003,NA,NA
Solomon Islands,2004,319,69.81543775
Solomon Islands,2005,204,43.42227094
Solomon Islands,2006,231,47.82608696
Solomon Islands,2007,139,27.99653568
Solomon Islands,2008,122,23.9112071
Solomon Islands,2009,NA,NA
Solomon Islands,2010,NA,NA
Solomon Islands,2011,NA,NA
Spain,2003,NA,NA
Spain,2004,NA,NA
Spain,2005,NA,NA
Spain,2006,NA,NA
Spain,2007,10348,23.1995133
Spain,2008,11558,25.60123588
Spain,2009,10684,23.410258
Spain,2010,9958,21.61165522
Spain,2011,9860,21.22488922
Sweden,2003,10142,113.5036941
Sweden,2004,10419,116.0507977
Sweden,2005,11711,129.6993304
Sweden,2006,12147,133.6199704
Sweden,2007,12563,137.1300855
Sweden,2008,14342,155.2690131
Sweden,2009,15693,168.5405929
Sweden,2010,17167,183.0231648
Sweden,2011,17077,180.88611
Switzerland,2003,NA,NA
Switzerland,2004,NA,NA
Switzerland,2005,NA,NA
Switzerland,2006,NA,NA
Switzerland,2007,NA,NA
Switzerland,2008,NA,NA
Switzerland,2009,6648,87.23023152
Switzerland,2010,6321,82.47309154
Switzerland,2011,6121,79.47606305
Syrian Arab Republic,2003,NA,NA
Syrian Arab Republic,2004,NA,NA
Syrian Arab Republic,2005,NA,NA
Syrian Arab Republic,2006,NA,NA
Syrian Arab Republic,2007,70,0.362294463
Syrian Arab Republic,2008,85,0.431597858
Syrian Arab Republic,2009,NA,NA
Syrian Arab Republic,2010,NA,NA
Syrian Arab Republic,2011,NA,NA
Tajikistan,2003,NA,NA
Tajikistan,2004,NA,NA
Tajikistan,2005,NA,NA
Tajikistan,2006,169,2.590183603
Tajikistan,2007,171,2.589172776
Tajikistan,2008,182,2.719902633
Tajikistan,2009,168,2.476637787
Tajikistan,2010,197,2.863939469
Tajikistan,2011,201,2.88091171
The former Yugoslav Republic of Macedonia,2003,NA,NA
The former Yugoslav Republic of Macedonia,2004,NA,NA
The former Yugoslav Republic of Macedonia,2005,NA,NA
The former Yugoslav Republic of Macedonia,2006,146,7.146035101
The former Yugoslav Republic of Macedonia,2007,145,7.080347787
The former Yugoslav Republic of Macedonia,2008,155,7.551677837
The former Yugoslav Republic of Macedonia,2009,136,6.612312807
The former Yugoslav Republic of Macedonia,2010,124,6.017772813
The former Yugoslav Republic of Macedonia,2011,126,6.104967651
Trinidad and Tobago,2003,NA,NA
Trinidad and Tobago,2004,633,48.29767851
Trinidad and Tobago,2005,803,61.04671937
Trinidad and Tobago,2006,803,60.81407554
Trinidad and Tobago,2007,901,67.96552994
Trinidad and Tobago,2008,779,58.52566414
Trinidad and Tobago,2009,804,60.16392424
Trinidad and Tobago,2010,767,57.17629606
Trinidad and Tobago,2011,709,52.66089798
Turkey,2003,2858,4.308146559
Turkey,2004,2893,4.302759148
Turkey,2005,3020,4.43184444
Turkey,2006,3300,4.778208727
Turkey,2007,2056,2.937446925
Turkey,2008,1850,2.608435851
Turkey,2009,NA,NA
Turkey,2010,NA,NA
Turkey,2011,NA,NA
Uganda,2003,NA,NA
Uganda,2004,NA,NA
Uganda,2005,14101,49.59691471
Uganda,2006,17046,58.03831911
Uganda,2007,32305,106.476967
Uganda,2008,10365,33.07339211
Uganda,2009,8646,26.71164208
Uganda,2010,8645,25.86411964
Uganda,2011,NA,NA
Ukraine,2003,2180,4.575671724
Ukraine,2004,1988,4.205160205
Ukraine,2005,1929,4.110909132
Ukraine,2006,2114,4.537279384
Ukraine,2007,1898,4.100932372
Ukraine,2008,1995,4.337750141
Ukraine,2009,1698,3.714316151
Ukraine,2010,1348,2.966005637
Ukraine,2011,NA,NA
United Kingdom (England and Wales),2003,48732,NA
United Kingdom (England and Wales),2004,47542,NA
United Kingdom (England and Wales),2005,47163,NA
United Kingdom (England and Wales),2006,43738,NA
United Kingdom (England and Wales),2007,41521,NA
United Kingdom (England and Wales),2008,40749,NA
United Kingdom (England and Wales),2009,43432,NA
United Kingdom (England and Wales),2010,45271,NA
United Kingdom (England and Wales),2011,44394,NA
United Kingdom (Northern Ireland),2003,1461,NA
United Kingdom (Northern Ireland),2004,1262,NA
United Kingdom (Northern Ireland),2005,1410,NA
United Kingdom (Northern Ireland),2006,1496,NA
United Kingdom (Northern Ireland),2007,1448,NA
United Kingdom (Northern Ireland),2008,1579,NA
United Kingdom (Northern Ireland),2009,1501,NA
United Kingdom (Northern Ireland),2010,1632,NA
United Kingdom (Northern Ireland),2011,1668,NA
United Kingdom (Scotland),2003,NA,NA
United Kingdom (Scotland),2004,7324,NA
United Kingdom (Scotland),2005,6558,NA
United Kingdom (Scotland),2006,6726,NA
United Kingdom (Scotland),2007,6552,NA
United Kingdom (Scotland),2008,6331,NA
United Kingdom (Scotland),2009,6527,NA
United Kingdom (Scotland),2010,6696,NA
United Kingdom (Scotland),2011,7359,NA
Yemen,2003,NA,NA
Yemen,2004,NA,NA
Yemen,2005,0,0
Yemen,2006,71,0.333520136
Yemen,2007,54,0.246047408
Yemen,2008,81,0.357985813
Yemen,2009,72,0.308639144
Yemen,2010,NA,NA
Yemen,2011,NA,NA
